INFO  - 2015-09-09 19:08:09.794; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-09-09 19:08:09.838; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/contexts at interval 0
INFO  - 2015-09-09 19:08:09.848; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2015-09-09 19:08:09.978; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/webapps/solr.war!/ to /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2015-09-09 19:08:11.479; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-09-09 19:08:11.550; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-09-09 19:08:11.573; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-09-09 19:08:11.573; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2015-09-09 19:08:11.575; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2015-09-09 19:08:11.744; org.apache.solr.core.ConfigSolr; Loading container configuration from /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/solr.xml
INFO  - 2015-09-09 19:08:11.905; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr
INFO  - 2015-09-09 19:08:11.915; org.apache.solr.core.CoreContainer; New CoreContainer 621300254
INFO  - 2015-09-09 19:08:11.916; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2015-09-09 19:08:11.932; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-09-09 19:08:11.933; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-09-09 19:08:11.939; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-09-09 19:08:11.942; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-09-09 19:08:11.943; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-09-09 19:08:11.943; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-09-09 19:08:11.943; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-09-09 19:08:11.944; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-09-09 19:08:11.944; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-09-09 19:08:11.944; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2015-09-09 19:08:12.174; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2015-09-09 19:08:12.177; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-09-09 19:08:12.178; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-09-09 19:08:12.179; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-09-09 19:08:12.644; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr
INFO  - 2015-09-09 19:08:12.654; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/
INFO  - 2015-09-09 19:08:12.654; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2015-09-09 19:08:12.657; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/Users/amohammad/Sites/devdesktop/openpublish-7.x-1.0-beta9-core/solr-4.10.4/example/solr/collection1/'
INFO  - 2015-09-09 19:08:12.728; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
